"TOA5","0506_Kalawahine","CR1000X","5723","CR1000X.Std.08.01","CPU:HI Mesonet_0506_v02p3-0.CR1X","33478","MetData"
"TIMESTAMP","RECORD","SWin_Avg","SWout_Avg","LWin_Avg","LWout_Avg","SWnet_Avg","LWnet_Avg","Rin_Avg","Rout_Avg","Rnet_Avg","Albedo_Avg","Tsrf_Avg","Tsky_Avg","Tair_1_Avg","Tair_2_Avg","RH_1_Avg","RH_2_Avg","VP_1_Avg","VP_2_Avg","VPsat_1_Avg","VPsat_2_Avg","VPD_1_Avg","VPD_2_Avg","WS_Avg","WSrs_Avg","WDuv_Avg","WDrs_Avg","WD_StdY","WD_StdCS","P","Psl","Tsoil_Avg","SHF_Avg","SHFsrf_Avg","SM_1_Avg","SM_2_Avg","SM_3_Avg","RF_Tot"
"TS","RN","W/m²","W/m²","W/m²","W/m²","W/m²","W/m²","W/m²","W/m²","W/m²","","°C","°C","°C","°C","%","%","kPa","kPa","kPa","kPa","kPa","kPa","m/s","m/s","degrees","degrees","degrees","degrees","kPa","kPa","°C","W/m²","W/m²","m³/m³","m³/m³","m³/m³","mm"
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Smp","Avg","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Avg","Avg","Smp","Avg","Avg","Avg","Tot"
"2025-04-04 00:05:00",3040,-0.547545,0.5310323,396.9055,413.0092,-1.078577,-16.10377,396.3579,413.5403,-17.18234,"NAN",18.99,16.1,"NAN",19.38,"NAN",92.9,"NAN",2.089,"NAN",2.248,"NAN",0.159,"NAN","NAN",0,0,0,0,"NAN","NAN",20.35241,-0.638,-24.46,0.201,0.201,0.243,0
"2025-04-04 00:10:00",3041,-0.5002545,0.3949853,398.767,413.4767,-0.8952398,-14.7097,398.2667,413.8716,-15.60494,"NAN",19.07,16.44,"NAN",19.4,"NAN",93.2,"NAN",2.098,"NAN",2.252,"NAN",0.154,"NAN","NAN",0,0,0,0,"NAN","NAN",20.33253,-0.631,-20.28,0.201,0.201,0.243,0
"2025-04-04 00:15:00",3042,-0.508084,0.3703399,398.2918,413.6323,-0.8784239,-15.34054,397.7837,414.0027,-16.21897,"NAN",19.1,16.35,"NAN",19.38,"NAN",93.3,"NAN",2.098,"NAN",2.249,"NAN",0.15,"NAN","NAN",0,0,0,0,"NAN","NAN",20.31592,-0.63,-16.82,0.201,0.201,0.243,0
"2025-04-04 00:20:00",3043,-0.2585475,0.5970238,400.208,414.1228,-0.8555713,-13.91481,399.9495,414.7198,-14.77039,"NAN",19.18,16.7,"NAN",19.51,"NAN",93.1,"NAN",2.112,"NAN",2.268,"NAN",0.156,"NAN","NAN",0,0,0,0,"NAN","NAN",20.30338,-0.622,-13.27,0.201,0.201,0.243,0
"2025-04-04 00:25:00",3044,-0.2853161,0.4918643,401.3262,414.5081,-0.7771805,-13.18187,401.0409,415,-13.95905,"NAN",19.25,16.9,"NAN",19.54,"NAN",93,"NAN",2.114,"NAN",2.272,"NAN",0.158,"NAN","NAN",0,0,0,0,"NAN","NAN",20.29129,-0.618,-12.24,0.201,0.201,0.243,0
"2025-04-04 00:30:00",3045,-0.4087872,0.3944732,400.7135,414.7668,-0.8032604,-14.05325,400.3047,415.1612,-14.85651,"NAN",19.3,16.79,"NAN",19.61,"NAN",92.9,"NAN",2.118,"NAN",2.281,"NAN",0.163,"NAN","NAN",0,0,0,0,"NAN","NAN",20.28177,-0.609,-10.25,0.201,0.201,0.243,0
"2025-04-04 00:35:00",3046,-0.271715,0.4938159,401.9066,415.0374,-0.7655308,-13.13077,401.6349,415.5312,-13.89631,"NAN",19.35,17,"NAN",19.66,"NAN",92.7,"NAN",2.12,"NAN",2.288,"NAN",0.168,"NAN","NAN",0,0,0,0,"NAN","NAN",20.28139,-0.606,-0.99,0.201,0.201,0.243,0
"2025-04-04 00:40:00",3047,-0.3187182,0.4697658,401.6268,415.3121,-0.7884839,-13.68531,401.3081,415.7819,-14.47379,"NAN",19.39,16.95,"NAN",19.73,"NAN",92.4,"NAN",2.122,"NAN",2.298,"NAN",0.175,"NAN","NAN",0,0,0,0,"NAN","NAN",20.27129,-0.599,-10.32,0.201,0.201,0.243,0
"2025-04-04 00:45:00",3048,-0.7170445,0.1266075,400.8103,414.9875,-0.843652,-14.17712,400.0933,415.1141,-15.02077,"NAN",19.34,16.81,"NAN",19.69,"NAN",92.2,"NAN",2.113,"NAN",2.292,"NAN",0.179,"NAN","NAN",0,0,0,0,"NAN","NAN",20.2688,-0.589,-3.301,0.201,0.201,0.243,0
"2025-04-04 00:50:00",3049,-0.5533189,0.2425419,401.282,415.1473,-0.7958609,-13.8653,400.7286,415.3898,-14.66117,"NAN",19.36,16.89,"NAN",19.64,"NAN",92.3,"NAN",2.109,"NAN",2.285,"NAN",0.176,"NAN","NAN",0,0,0,0,"NAN","NAN",20.27147,-0.584,2.068,0.201,0.201,0.243,0
"2025-04-04 00:55:00",3050,-0.4946514,0.2810197,401.5896,414.9955,-0.7756711,-13.40583,401.095,415.2765,-14.1815,"NAN",19.34,16.95,"NAN",19.67,"NAN",91.8,"NAN",2.103,"NAN",2.29,"NAN",0.187,"NAN","NAN",0,0,0,0,"NAN","NAN",20.2708,-0.577,-0.969,0.201,0.201,0.243,0
"2025-04-04 01:00:00",3051,-0.4724488,0.2147737,402.9031,414.7366,-0.6872225,-11.83353,402.4307,414.9514,-12.52075,"NAN",19.29,17.18,"NAN",19.62,"NAN",91.1,"NAN",2.081,"NAN",2.283,"NAN",0.202,"NAN","NAN",0,0,0,0,"NAN","NAN",20.27385,-0.573,2.052,0.201,0.201,0.243,0
"2025-04-04 01:05:00",3052,-0.5211,0.1386672,402.3391,414.5316,-0.6597671,-12.19248,401.818,414.6703,-12.85225,"NAN",19.26,17.08,"NAN",19.64,"NAN",90.2,"NAN",2.061,"NAN",2.286,"NAN",0.224,"NAN","NAN",0,0,0,0,"NAN","NAN",20.2783,-0.567,4.111,0.201,0.201,0.243,0
"2025-04-04 01:10:00",3053,-0.813988,0.04317275,396.3742,414.3132,-0.8571607,-17.93901,395.5602,414.3564,-18.79617,"NAN",19.22,16,"NAN",19.66,"NAN",90.1,"NAN",2.062,"NAN",2.288,"NAN",0.227,"NAN","NAN",0,0,0,0,"NAN","NAN",20.27879,-0.559,-0.055,0.201,0.201,0.243,0
"2025-04-04 01:15:00",3054,-1.114884,0.06740607,391.8653,414.0563,-1.182291,-22.19102,390.7504,414.1237,-23.37331,"NAN",19.17,15.17,"NAN",19.62,"NAN",90.7,"NAN",2.07,"NAN",2.283,"NAN",0.213,"NAN","NAN",0,0,0,0,"NAN","NAN",20.28006,-0.551,0.421,0.201,0.201,0.243,0
"2025-04-04 01:20:00",3055,-0.8746853,-0.1052703,403.4152,414.1217,-0.769415,-10.70651,402.5405,414.0164,-11.47592,"NAN",19.18,17.27,"NAN",19.55,"NAN",91.3,"NAN",2.075,"NAN",2.273,"NAN",0.198,"NAN","NAN",0,0,0,0,"NAN","NAN",20.28451,-0.543,4.076,0.201,0.201,0.243,0
"2025-04-04 01:25:00",3056,-0.7150775,-0.009026704,401.5299,414.2148,-0.7060508,-12.68492,400.8148,414.2058,-13.39097,"NAN",19.2,16.94,"NAN",19.52,"NAN",92,"NAN",2.087,"NAN",2.268,"NAN",0.181,"NAN","NAN",0,0,0,0,"NAN","NAN",20.27775,-0.54,-7.244,0.201,0.201,0.243,0
"2025-04-04 01:30:00",3057,-0.8062863,0.2325372,399.6869,414.6927,-1.038823,-15.00586,398.8806,414.9252,-16.04468,"NAN",19.28,16.6,"NAN",19.52,"NAN",92.6,"NAN",2.1,"NAN",2.268,"NAN",0.169,"NAN","NAN",0,0,0,0,"NAN","NAN",20.27491,-0.533,-3.394,0.201,0.201,0.243,0
"2025-04-04 01:35:00",3058,-1.015022,0.2858527,402.1819,414.4642,-1.300874,-12.28237,401.1668,414.7501,-13.58325,"NAN",19.24,17.05,"NAN",19.53,"NAN",92.6,"NAN",2.102,"NAN",2.27,"NAN",0.168,"NAN","NAN",0,0,0,0,"NAN","NAN",20.27178,-0.525,-3.416,0.201,0.201,0.243,0
"2025-04-04 01:40:00",3059,-1.049268,-0.02482314,401.9291,414.2634,-1.024445,-12.33429,400.8798,414.2386,-13.35874,"NAN",19.21,17.01,"NAN",19.49,"NAN",93,"NAN",2.105,"NAN",2.265,"NAN",0.159,"NAN","NAN",0,0,0,0,"NAN","NAN",20.27081,-0.518,-1.733,0.201,0.201,0.243,0
"2025-04-04 01:45:00",3060,-1.058292,-0.1719327,401.33,413.8705,-0.8863589,-12.54059,400.2716,413.6986,-13.42694,"NAN",19.14,16.9,"NAN",19.36,"NAN",93.3,"NAN",2.096,"NAN",2.246,"NAN",0.15,"NAN","NAN",0,0,0,0,"NAN","NAN",20.27145,-0.51,0.366,0.201,0.201,0.243,0
"2025-04-04 01:50:00",3061,-0.6504254,-0.03160541,403.8561,413.9094,-0.61882,-10.05338,403.2056,413.8778,-10.67219,"NAN",19.15,17.35,"NAN",19.29,"NAN",93.7,"NAN",2.096,"NAN",2.236,"NAN",0.14,"NAN","NAN",0,0,0,0,"NAN","NAN",20.26947,-0.503,-2.738,0.201,0.201,0.243,0
"2025-04-04 01:55:00",3062,-0.6076827,-0.0782647,405.8581,412.781,-0.5294181,-6.922887,405.2504,412.7027,-7.452305,"NAN",18.95,17.71,"NAN",19.26,"NAN",94.1,"NAN",2.101,"NAN",2.232,"NAN",0.132,"NAN","NAN",0,0,0,0,"NAN","NAN",20.31101,-0.498,40.19,0.201,0.201,0.243,0
"2025-04-04 02:00:00",3063,-0.6057329,-0.2198824,408.4935,413.6462,-0.3858505,-5.152699,407.8878,413.4263,-5.53855,"NAN",19.1,18.18,"NAN",19.26,"NAN",94.4,"NAN",2.108,"NAN",2.232,"NAN",0.124,"NAN","NAN",0,0,0,0,"NAN","NAN",20.4345,-0.491,121.5,0.201,0.201,0.243,0
"2025-04-04 02:05:00",3064,-1.610845,-0.5025329,410.1477,413.8985,-1.108312,-3.750816,408.5369,413.396,-4.859128,"NAN",19.14,18.48,"NAN",19.25,"NAN",94.7,"NAN",2.113,"NAN",2.23,"NAN",0.118,"NAN","NAN",0,0,0,0,"NAN","NAN",20.49723,-0.486,61.15,0.201,0.201,0.243,0
"2025-04-04 02:10:00",3065,-2.142686,-0.3118356,414.2393,413.6414,-1.83085,0.5980034,412.0967,413.3295,-1.232847,"NAN",19.1,19.2,"NAN",19.22,"NAN",95.2,"NAN",2.119,"NAN",2.226,"NAN",0.107,"NAN","NAN",0,0,0,0,"NAN","NAN",20.5286,-0.475,30.64,0.201,0.201,0.243,0
"2025-04-04 02:15:00",3066,-1.573658,-0.2087648,415.7599,414.2227,-1.364893,1.537165,414.1862,414.0139,0.1722714,"NAN",19.2,19.47,"NAN",19.18,"NAN",95.6,"NAN",2.124,"NAN",2.221,"NAN",0.097,"NAN","NAN",0,0,0,0,"NAN","NAN",20.49851,-0.469,-29.65,0.201,0.2,0.243,0
"2025-04-04 02:20:00",3067,-1.195577,0.3957539,413.3295,413.528,-1.591331,-0.1985562,412.1339,413.9238,-1.789887,"NAN",19.08,19.04,"NAN",19.12,"NAN",96,"NAN",2.124,"NAN",2.213,"NAN",0.089,"NAN","NAN",0,0,0,0,"NAN","NAN",20.38841,-0.456,-109.1,0.2,0.2,0.243,0
"2025-04-04 02:25:00",3068,-0.9467993,0.4405227,411.9592,413.0096,-1.387322,-1.050396,411.0124,413.4501,-2.437718,"NAN",18.99,18.8,"NAN",19.12,"NAN",96.3,"NAN",2.131,"NAN",2.212,"NAN",0.082,"NAN","NAN",0,0,0,0,"NAN","NAN",20.3316,-0.448,-56.3,0.2,0.2,0.243,0
"2025-04-04 02:30:00",3069,-0.7903497,0.1571433,411.5828,412.8999,-0.947493,-1.31718,410.7924,413.0571,-2.264673,"NAN",18.97,18.73,"NAN",19.09,"NAN",96.5,"NAN",2.132,"NAN",2.208,"NAN",0.076,"NAN","NAN",0,0,0,0,"NAN","NAN",20.3111,-0.446,-21.04,0.2,0.2,0.243,0
"2025-04-04 02:35:00",3070,-0.6928487,0.2431055,411.1011,412.7869,-0.9359542,-1.685845,410.4082,413.03,-2.621799,"NAN",18.95,18.65,"NAN",19.03,"NAN",96.8,"NAN",2.13,"NAN",2.201,"NAN",0.071,"NAN","NAN",0,0,0,0,"NAN","NAN",20.30011,-0.437,-11.03,0.2,0.2,0.243,0
"2025-04-04 02:40:00",3071,-0.7139542,0.4318295,410.3091,412.5026,-1.145784,-2.193481,409.5951,412.9344,-3.339265,"NAN",18.9,18.51,"NAN",19.02,"NAN",97.1,"NAN",2.134,"NAN",2.199,"NAN",0.065,"NAN","NAN",0,0,0,0,"NAN","NAN",20.29001,-0.432,-10.45,0.201,0.2,0.243,0
"2025-04-04 02:45:00",3072,-0.7991806,0.4105168,409.3351,412.7358,-1.209697,-3.400694,408.5359,413.1464,-4.610391,"NAN",18.94,18.34,"NAN",19.03,"NAN",97.2,"NAN",2.14,"NAN",2.201,"NAN",0.061,"NAN","NAN",0,0,0,0,"NAN","NAN",20.28553,-0.421,-5.087,0.201,0.2,0.243,0
"2025-04-04 02:50:00",3073,-0.7066271,0.5461916,410.1269,412.7275,-1.252819,-2.600653,409.4202,413.2737,-3.853472,"NAN",18.94,18.48,"NAN",19,"NAN",97.4,"NAN",2.138,"NAN",2.196,"NAN",0.058,"NAN","NAN",0,0,0,0,"NAN","NAN",20.27693,-0.414,-8.55,0.2,0.2,0.243,0
"2025-04-04 02:55:00",3074,-0.7087565,0.4511096,410.0203,412.648,-1.159866,-2.627712,409.3115,413.0991,-3.787579,"NAN",18.92,18.46,"NAN",19,"NAN",97.5,"NAN",2.142,"NAN",2.197,"NAN",0.054,"NAN","NAN",0,0,0,0,"NAN","NAN",20.2718,-0.408,-5.615,0.2,0.2,0.243,0
"2025-04-04 03:00:00",3075,-0.7690901,0.7506933,409.7529,412.7933,-1.519783,-3.040364,408.9838,413.544,-4.560147,"NAN",18.95,18.41,"NAN",18.95,"NAN",97.5,"NAN",2.135,"NAN",2.189,"NAN",0.054,"NAN","NAN",0,0,0,0,"NAN","NAN",20.26372,-0.402,-8.55,0.201,0.2,0.243,0
"2025-04-04 03:05:00",3076,-0.8886339,0.8649524,409.2561,412.3867,-1.753586,-3.130599,408.3675,413.2516,-4.884185,"NAN",18.88,18.32,"NAN",18.94,"NAN",97.7,"NAN",2.137,"NAN",2.188,"NAN",0.051,"NAN","NAN",0,0,0,0,"NAN","NAN",20.26397,-0.393,0.134,0.2,0.2,0.243,0
"2025-04-04 03:10:00",3077,-0.8825423,0.9079525,409.6982,412.4874,-1.790495,-2.789116,408.8157,413.3953,-4.579611,"NAN",18.89,18.4,"NAN",18.96,"NAN",97.7,"NAN",2.142,"NAN",2.191,"NAN",0.049,"NAN","NAN",0,0,0,0,"NAN","NAN",20.2626,-0.385,-1.763,0.2,0.2,0.243,0
"2025-04-04 03:15:00",3078,-0.9527841,0.944892,409.4369,412.6779,-1.897676,-3.240977,408.4841,413.6228,-5.138654,"NAN",18.93,18.35,"NAN",18.96,"NAN",97.7,"NAN",2.142,"NAN",2.191,"NAN",0.05,"NAN","NAN",0,0,0,0,"NAN","NAN",20.25634,-0.38,-6.638,0.2,0.2,0.243,0
"2025-04-04 03:20:00",3079,-1.192745,1.223347,409.0532,412.3437,-2.416092,-3.290477,407.8605,413.567,-5.706569,"NAN",18.87,18.29,"NAN",18.89,"NAN",97.7,"NAN",2.13,"NAN",2.181,"NAN",0.051,"NAN","NAN",0,0,0,0,"NAN","NAN",20.25256,-0.373,-3.945,0.201,0.2,0.243,0
"2025-04-04 03:25:00",3080,-1.451806,1.515662,409.0977,411.906,-2.967469,-2.808217,407.6459,413.4216,-5.775686,"NAN",18.79,18.29,"NAN",18.83,"NAN",97.5,"NAN",2.12,"NAN",2.173,"NAN",0.054,"NAN","NAN",0,0,0,0,"NAN","NAN",20.25635,-0.363,3.235,0.201,0.2,0.243,0
"2025-04-04 03:30:00",3081,-1.539438,1.317516,409.1559,411.5027,-2.856953,-2.346816,407.6165,412.8202,-5.203769,"NAN",18.72,18.3,"NAN",18.79,"NAN",97.4,"NAN",2.112,"NAN",2.167,"NAN",0.055,"NAN","NAN",0,0,0,0,"NAN","NAN",20.2635,-0.36,6.626,0.2,0.2,0.243,0
"2025-04-04 03:35:00",3082,-1.106862,1.529079,409.2227,411.5185,-2.635941,-2.295799,408.1158,413.0475,-4.93174,"NAN",18.72,18.32,"NAN",18.8,"NAN",97.3,"NAN",2.109,"NAN",2.169,"NAN",0.06,"NAN","NAN",0,0,0,0,"NAN","NAN",20.26548,-0.348,1.492,0.201,0.2,0.243,0
"2025-04-04 03:40:00",3083,-1.184992,1.453173,408.5865,411.338,-2.638166,-2.751443,407.4015,412.7911,-5.389608,"NAN",18.69,18.2,"NAN",18.88,"NAN",97.1,"NAN",2.117,"NAN",2.18,"NAN",0.063,"NAN","NAN",0,0,0,0,"NAN","NAN",20.26139,-0.339,-3.861,0.201,0.2,0.243,0
"2025-04-04 03:45:00",3084,-1.111683,1.385287,408.4392,411.7105,-2.49697,-3.271286,407.3275,413.0958,-5.768256,"NAN",18.76,18.18,"NAN",19.02,"NAN",96.8,"NAN",2.129,"NAN",2.199,"NAN",0.07,"NAN","NAN",0,0,0,0,"NAN","NAN",20.25603,-0.334,-6.127,0.201,0.2,0.243,0
"2025-04-04 03:50:00",3085,-1.175565,1.259044,407.6435,411.9733,-2.434609,-4.329816,406.468,413.2324,-6.764426,"NAN",18.8,18.03,"NAN",19.09,"NAN",96.5,"NAN",2.132,"NAN",2.208,"NAN",0.077,"NAN","NAN",0,0,0,0,"NAN","NAN",20.24696,-0.328,-9.04,0.201,0.2,0.243,0
"2025-04-04 03:55:00",3086,-1.361165,1.385893,407.2764,411.8528,-2.747058,-4.57641,405.9152,413.2387,-7.323468,"NAN",18.78,17.97,"NAN",19.12,"NAN",96.3,"NAN",2.13,"NAN",2.212,"NAN",0.082,"NAN","NAN",0,0,0,0,"NAN","NAN",20.24004,-0.323,-7.207,0.201,0.2,0.243,0
"2025-04-04 04:00:00",3087,-1.236626,1.126032,409.9203,412.0314,-2.362658,-2.111081,408.6837,413.1574,-4.47374,"NAN",18.81,18.44,"NAN",19.14,"NAN",96.1,"NAN",2.128,"NAN",2.215,"NAN",0.087,"NAN","NAN",0,0,0,0,"NAN","NAN",20.23882,-0.313,-1.503,0.201,0.2,0.243,0
"2025-04-04 04:05:00",3088,-1.15055,0.935326,411.6036,412.6735,-2.085876,-1.069967,410.453,413.6089,-3.155843,"NAN",18.93,18.74,"NAN",19.24,"NAN",96.1,"NAN",2.142,"NAN",2.23,"NAN",0.087,"NAN","NAN",0,0,0,0,"NAN","NAN",20.22592,-0.31,-12.87,0.201,0.201,0.243,0
"2025-04-04 04:10:00",3089,-0.9921796,0.5736509,412.806,413.1235,-1.565831,-0.3175499,411.8138,413.6972,-1.883381,"NAN",19.01,18.95,"NAN",19.32,"NAN",96.2,"NAN",2.155,"NAN",2.24,"NAN",0.085,"NAN","NAN",0,0,0,0,"NAN","NAN",20.21424,-0.299,-11.93,0.201,0.2,0.243,0
"2025-04-04 04:15:00",3090,-0.9385212,0.7749823,413.432,413.7426,-1.713504,-0.3106492,412.4935,414.5176,-2.024153,"NAN",19.12,19.06,"NAN",19.31,"NAN",96.3,"NAN",2.157,"NAN",2.239,"NAN",0.082,"NAN","NAN",0,0,0,0,"NAN","NAN",20.1983,-0.292,-16.12,0.202,0.2,0.243,0.254
"2025-04-04 04:20:00",3091,-1.040819,1.494652,413.0998,413.5365,-2.535471,-0.4366791,412.059,415.0311,-2.972151,"NAN",19.08,19,"NAN",19.27,"NAN",96.4,"NAN",2.152,"NAN",2.233,"NAN",0.081,"NAN","NAN",0,0,0,0,"NAN","NAN",20.18441,-0.286,-14.08,0.202,0.201,0.243,0
"2025-04-04 04:25:00",3092,-0.6915181,0.7910734,413.1262,413.3377,-1.482592,-0.2114938,412.4347,414.1288,-1.694085,"NAN",19.05,19.01,"NAN",19.33,"NAN",96.4,"NAN",2.162,"NAN",2.242,"NAN",0.08,"NAN","NAN",0,0,0,0,"NAN","NAN",20.18468,-0.28,0.085,0.202,0.201,0.243,0
"2025-04-04 04:30:00",3093,-1.015531,0.5700327,412.2906,412.9404,-1.585563,-0.6498321,411.2751,413.5104,-2.235395,"NAN",18.98,18.86,"NAN",19.27,"NAN",96.5,"NAN",2.156,"NAN",2.234,"NAN",0.078,"NAN","NAN",0,0,0,0,"NAN","NAN",20.18602,-0.273,0.767,0.202,0.201,0.243,0
"2025-04-04 04:35:00",3094,-0.5592122,0.3775599,412.8744,413.0713,-0.9367722,-0.196901,412.3152,413.4488,-1.133673,"NAN",19,18.96,"NAN",19.29,"NAN",96.8,"NAN",2.166,"NAN",2.237,"NAN",0.071,"NAN","NAN",0,0,0,0,"NAN","NAN",20.18793,-0.267,2.201,0.202,0.201,0.243,0
"2025-04-04 04:40:00",3095,-0.7066989,0.1097844,412.9452,413.5522,-0.8164833,-0.6069422,412.2386,413.662,-1.423426,"NAN",19.08,18.98,"NAN",19.29,"NAN",97,"NAN",2.168,"NAN",2.236,"NAN",0.068,"NAN","NAN",0,0,0,0,"NAN","NAN",20.18395,-0.266,-4.437,0.202,0.201,0.243,0
"2025-04-04 04:45:00",3096,-1.07794,1.034974,411.6151,412.8069,-2.112914,-1.191762,410.5372,413.8419,-3.304676,"NAN",18.95,18.74,"NAN",19,"NAN",96.7,"NAN",2.124,"NAN",2.196,"NAN",0.071,"NAN","NAN",0,0,0,0,"NAN","NAN",20.18217,-0.258,-2.212,0.202,0.201,0.243,0
"2025-04-04 04:50:00",3097,-1.680682,1.741611,409.7276,410.9688,-3.422293,-1.24118,408.0469,412.7104,-4.663473,"NAN",18.63,18.41,"NAN",18.77,"NAN",96.8,"NAN",2.096,"NAN",2.165,"NAN",0.069,"NAN","NAN",0,0,0,0,"NAN","NAN",20.21799,-0.252,35.21,0.202,0.201,0.243,0
"2025-04-04 04:55:00",3098,-1.201901,1.503444,410.2323,411.1378,-2.705345,-0.9054879,409.0304,412.6412,-3.610832,"NAN",18.66,18.49,"NAN",18.93,"NAN",96.9,"NAN",2.118,"NAN",2.186,"NAN",0.068,"NAN","NAN",0,0,0,0,"NAN","NAN",20.23302,-0.246,14.52,0.203,0.201,0.243,0
"2025-04-04 05:00:00",3099,-1.208155,1.500196,410.0514,410.9944,-2.708351,-0.9429219,408.8433,412.4946,-3.651273,"NAN",18.63,18.46,"NAN",18.93,"NAN",96.5,"NAN",2.109,"NAN",2.186,"NAN",0.077,"NAN","NAN",0,0,0,0,"NAN","NAN",20.23799,-0.24,5.008,0.203,0.201,0.243,0
"2025-04-04 05:05:00",3100,-1.148405,1.664245,408.3612,410.9479,-2.812649,-2.586666,407.2128,412.6121,-5.399315,"NAN",18.62,18.16,"NAN",18.98,"NAN",96.1,"NAN",2.107,"NAN",2.193,"NAN",0.086,"NAN","NAN",0,0,0,0,"NAN","NAN",20.23161,-0.231,-6.687,0.203,0.201,0.243,0
"2025-04-04 05:10:00",3101,-0.94363,1.49083,407.564,411.2369,-2.43446,-3.672952,406.6204,412.7278,-6.107412,"NAN",18.67,18.02,"NAN",19.11,"NAN",95.6,"NAN",2.114,"NAN",2.211,"NAN",0.097,"NAN","NAN",0,0,0,0,"NAN","NAN",20.22411,-0.228,-7.716,0.203,0.201,0.243,0
"2025-04-04 05:15:00",3102,-1.223899,1.497898,403.8152,411.3367,-2.721797,-7.521523,402.5913,412.8346,-10.24332,"NAN",18.69,17.35,"NAN",19.18,"NAN",95.1,"NAN",2.111,"NAN",2.22,"NAN",0.11,"NAN","NAN",0,0,0,0,"NAN","NAN",20.21343,-0.223,-10.79,0.203,0.201,0.243,0
"2025-04-04 05:20:00",3103,-1.543371,1.605463,402.2476,410.7223,-3.148834,-8.474646,400.7043,412.3278,-11.62348,"NAN",18.58,17.07,"NAN",19.15,"NAN",94.3,"NAN",2.091,"NAN",2.217,"NAN",0.126,"NAN","NAN",0,0,0,0,"NAN","NAN",20.21458,-0.215,1.073,0.203,0.201,0.243,0
"2025-04-04 05:25:00",3104,-1.157803,1.497786,403.9071,409.5424,-2.655588,-5.63532,402.7493,411.0402,-8.290908,"NAN",18.37,17.36,"NAN",19.2,"NAN",94,"NAN",2.091,"NAN",2.224,"NAN",0.134,"NAN","NAN",0,0,0,0,"NAN","NAN",20.26199,-0.208,46.38,0.203,0.201,0.243,0
"2025-04-04 05:30:00",3105,-1.317777,1.293738,406.112,410.3406,-2.611516,-4.228589,404.7943,411.6343,-6.840104,"NAN",18.51,17.76,"NAN",19.32,"NAN",93.6,"NAN",2.096,"NAN",2.24,"NAN",0.144,"NAN","NAN",0,0,0,0,"NAN","NAN",20.36199,-0.199,98.8,0.203,0.201,0.243,0
"2025-04-04 05:35:00",3106,-1.217977,1.132729,406.9822,411.3077,-2.350706,-4.32551,405.7643,412.4404,-6.676215,"NAN",18.69,17.92,"NAN",19.32,"NAN",93.5,"NAN",2.095,"NAN",2.241,"NAN",0.146,"NAN","NAN",0,0,0,0,"NAN","NAN",20.38487,-0.197,22.58,0.203,0.201,0.243,0
"2025-04-04 05:40:00",3107,-1.169347,1.236756,405.4906,412.0216,-2.406102,-6.530997,404.3213,413.2584,-8.937099,"NAN",18.81,17.65,"NAN",19.34,"NAN",92.8,"NAN",2.082,"NAN",2.243,"NAN",0.161,"NAN","NAN",0,0,0,0,"NAN","NAN",20.37553,-0.187,-9.02,0.203,0.201,0.243,0
"2025-04-04 05:45:00",3108,-0.9595852,1.092355,407.0224,411.2198,-2.05194,-4.197371,406.0628,412.3121,-6.249311,"NAN",18.67,17.92,"NAN",19.35,"NAN",92.7,"NAN",2.081,"NAN",2.245,"NAN",0.164,"NAN","NAN",0,0,0,0,"NAN","NAN",20.28503,-0.183,-89.7,0.203,0.201,0.243,0
"2025-04-04 05:50:00",3109,-0.2081493,1.319394,408.1951,411.1087,-1.527543,-2.913578,407.9869,412.4281,-4.441121,"NAN",18.65,18.13,"NAN",19.33,"NAN",92.2,"NAN",2.068,"NAN",2.242,"NAN",0.174,"NAN","NAN",0,0,0,0,"NAN","NAN",20.23118,-0.18,-54.05,0.203,0.201,0.243,0
"2025-04-04 05:55:00",3110,-0.1925895,1.338234,406.2021,411.1214,-1.530824,-4.919313,406.0095,412.4596,-6.450138,"NAN",18.65,17.78,"NAN",19.42,"NAN",92.2,"NAN",2.078,"NAN",2.255,"NAN",0.177,"NAN","NAN",0,0,0,0,"NAN","NAN",20.20721,-0.171,-23.49,0.203,0.201,0.243,0
"2025-04-04 06:00:00",3111,-0.5118721,0.7672767,409.5807,410.1786,-1.279149,-0.5978634,409.0689,410.9459,-1.877012,"NAN",18.49,18.38,"NAN",19.47,"NAN",92.6,"NAN",2.095,"NAN",2.262,"NAN",0.167,"NAN","NAN",0,0,0,0,"NAN","NAN",20.23689,-0.17,28.65,0.203,0.201,0.243,0
"2025-04-04 06:05:00",3112,-0.7315587,0.1475274,412.7103,411.3185,-0.8790861,1.391861,411.9788,411.466,0.5127749,"NAN",18.69,18.93,"NAN",19.45,"NAN",93.5,"NAN",2.111,"NAN",2.258,"NAN",0.147,"NAN","NAN",0,0,0,0,"NAN","NAN",20.34428,-0.166,106.4,0.203,0.201,0.243,0
